### 2016-10-04 13:27:11.330614567 +0200 CEST Data Acquisition: abe 

### [Ard]; localTime(us); sensorTime(us); trackerTime(us); distance(mm); accX(g); accY(g); accZ(g); gyrX(gr/s); gyrY(gr/s); gyrZ(gr/s)

[Ard]; 4451895; 2530766256; 0; 1066; -0.985596; 0.010498; -0.020996; 1.595420; 1.900763; 0.312977
[Ard]; 4489221; 2530805784; 0; 1062; -0.986572; 0.005371; -0.020264; 1.526718; 1.839695; 0.236641
[Ard]; 4509576; 2530845296; 0; 1451; -0.990723; 0.005615; -0.020020; 1.381679; 1.832061; 0.358779
[D]; 4488575
[Ard]; 4558611; 2530884816; 0; 1067; -0.983887; 0.006348; -0.014160; 1.610687; 1.709924; 0.450382
[Ard]; 4608604; 2530924336; 0; 1473; -0.985596; 0.011475; -0.024170; 1.595420; 1.870229; 0.633588
[Ard]; 4627095; 2530963856; 0; 1096; -0.978760; 0.010010; -0.027344; 1.572519; 1.839695; 0.419847
[Ard]; 4668694; 2531003376; 0; 1092; -0.981201; 0.006836; -0.011963; 1.519084; 1.725191; 0.320611
[Ard]; 4713112; 2531042896; 0; 1460; -0.986816; 0.010254; -0.020020; 1.587786; 1.847328; 0.526718
[Ard]; 4757434; 2531082416; 0; 1066; -0.981689; 0.008057; -0.009766; 1.610687; 1.679389; 0.320611
[Ard]; 4804223; 2531121936; 0; 1062; -0.985596; 0.004639; -0.019775; 1.564885; 1.732824; 0.396947
[Ard]; 4846197; 2531161456; 0; 1463; -0.981689; 0.007324; -0.023438; 1.580153; 1.923664; 0.282443
[Ard]; 4855597; 2531200976; 0; 1477; -0.980225; 0.008057; -0.018555; 1.587786; 1.717557; 0.274809
[Ard]; 4918625; 2531240496; 0; 1460; -0.984375; 0.003662; -0.018066; 1.595420; 1.801527; 0.259542
[Ard]; 4967673; 2531280016; 0; 1485; -0.980957; 0.007568; -0.028076; 1.480916; 1.809160; 0.458015
[Ard]; 4980737; 2531319536; 0; 1079; -0.986084; 0.004639; -0.016113; 1.641221; 1.931298; 0.374046
[Ard]; 5047373; 2531359056; 0; 1467; -0.989258; 0.008057; -0.017578; 1.488550; 1.709924; 0.442748
[Ard]; 5096474; 2531398576; 0; 1067; -0.980713; 0.005615; -0.018066; 1.503817; 1.893130; 0.389313
[Ard]; 5106119; 2531438096; 0; 1067; -0.983154; 0.010010; -0.017578; 1.618321; 1.755725; 0.549618
[Ard]; 5166809; 2531477616; 0; 1067; -0.985840; 0.004395; -0.012939; 1.534351; 1.580153; 0.312977
[Ard]; 5189190; 2531517136; 0; 1062; -0.983398; 0.012939; -0.018311; 1.572519; 1.824427; 0.335878
[Ard]; 5234159; 2531556656; 0; 1067; -0.980713; 0.006836; -0.012451; 1.488550; 1.748092; 0.633588
[Ard]; 5274323; 2531596176; 0; 1071; -0.986572; 0.014160; -0.025391; 1.488550; 1.908397; 0.511450
[Ard]; 5287991; 2531635696; 0; 1061; -0.989258; 0.011230; -0.025146; 1.618321; 1.793893; 0.564885
[Ard]; 5334385; 2531675216; 0; 1456; -0.982422; 0.008545; -0.028320; 1.496183; 1.541985; 0.458015
[Ard]; 5374017; 2531714736; 0; 1482; -0.977295; 0.008057; -0.015625; 1.610687; 1.732824; 0.435115
[Ard]; 5415694; 2531754256; 0; 1472; -0.988525; 0.006592; -0.021973; 1.541985; 1.885496; 0.473282
[Ard]; 5589683; 2531793776; 0; 33358; -0.988525; 0.008789; -0.022705; 1.633588; 1.801527; 0.511450
[Ard]; 5643391; 2531990100; 0; 453; -0.981934; 0.000244; -0.020752; 1.534351; 1.809160; 0.465649
[Ard]; 5695660; 2532001256; 0; 1070; -0.980713; 0.012451; -0.021729; 1.656489; 1.793893; 0.435115
[Ard]; 5728024; 2532040776; 0; 1067; -0.989746; 0.010986; -0.012451; 1.503817; 1.748092; 0.320611
