### 2016-07-14 14:11:02.554859852 +0200 CEST Data Acquisition: aaaa 

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s) 

[D], 57089,
[Ard], 11057384, 0, 1583069776, 220, -0.982666, 0.046631, -0.035400, 1.175573, 1.984733, 0.396947
[Ard], 11099254, 0, 1583093184, 220, -0.982178, 0.046387, -0.033203, 1.580153, 1.480916, -0.038168
[Ard], 11145283, 0, 1583132704, 221, -0.988281, 0.052490, -0.041016, 1.244275, 1.740458, 0.229008
[Ard], 11186896, 0, 1583172224, 221, -0.984375, 0.043457, -0.039551, 1.511450, 1.580153, 0.221374
[Ard], 11223373, 0, 1583211744, 221, -0.977783, 0.050293, -0.034424, 1.389313, 1.335878, 0.312977
[Ard], 11265280, 0, 1583251264, 221, -0.984375, 0.049072, -0.026123, 1.297710, 1.557252, 0.167939
[Ard], 11306987, 0, 1583290784, 220, -0.983887, 0.046631, -0.028076, 1.396947, 1.610687, 0.404580
[Ard], 11352503, 0, 1583330312, 221, -0.978027, 0.046875, -0.039062, 1.328244, 1.587786, 0.099237
[Ard], 11361763, 0, 1583369824, 222, -0.985596, 0.049805, -0.029785, 1.259542, 1.320611, 0.229008
[Ard], 11403501, 0, 1583409344, 221, -0.979248, 0.051025, -0.035889, 1.450382, 1.427481, 0.198473
[Ard], 11447867, 0, 1583448864, 221, -0.981934, 0.048584, -0.031738, 1.664122, 1.748092, 0.152672
[Ard], 11484500, 0, 1583488384, 220, -0.983398, 0.050537, -0.034180, 1.396947, 1.557252, 0.190840
[Ard], 11526483, 0, 1583527904, 221, -0.978271, 0.046631, -0.026123, 1.343511, 1.519084, 0.244275
[Ard], 11566890, 0, 1583567424, 221, -0.981689, 0.048340, -0.033936, 1.137405, 1.679389, 0.274809
[Ard], 11645548, 0, 1583606944, 221, -0.981689, 0.052002, -0.034180, 1.343511, 1.610687, 0.007634
[Ard], 11656940, 0, 1583646464, 222, -0.984375, 0.051270, -0.028564, 1.259542, 1.374046, 0.068702
[Ard], 11697220, 0, 1583685984, 220, -0.979248, 0.051025, -0.034180, 1.366412, 1.465649, 0.297710
[Ard], 11736548, 0, 1583725504, 221, -0.984375, 0.049316, -0.031250, 1.244275, 1.396947, 0.083969
[Ard], 11783328, 0, 1583765024, 221, -0.984131, 0.049072, -0.034180, 1.435115, 1.595420, -0.007634
[Ard], 11827624, 0, 1583804544, 221, -0.988525, 0.051514, -0.034912, 1.473282, 1.488550, 0.137405
[Ard], 11839270, 0, 1583844064, 221, -0.980713, 0.048340, -0.031494, 1.251908, 1.458015, 0.206107
[Ard], 11878654, 0, 1583883584, 220, -0.984863, 0.045410, -0.039307, 1.412214, 1.419847, -0.022901
