### 2016-10-04 13:18:53.305149368 +0200 CEST Data Acquisition: tiogilito 

### [Ard], localTime(us), sensorTime(us), trackerTime(us), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s)

[Ard], 3845072, 2031949316, 0, -0.985107, 0.008545, -0.013184, 1.534351, 1.740458, 0.366412
[Ard], 3887137, 2031988836, 0, -0.980469, 0.004150, -0.011963, 1.496183, 1.847328, 0.381679
[Ard], 3934396, 2032028356, 0, -0.982422, 0.013916, -0.022217, 1.671756, 1.702290, 0.374046
[Ard], 3969082, 2032067876, 0, -0.989746, 0.009766, -0.020508, 1.717557, 1.854962, 0.435115
[Ard], 3984071, 2032107396, 0, -0.989990, 0.008057, -0.019043, 1.488550, 1.801527, 0.328244
[Ard], 4025102, 2032146916, 0, -0.983398, 0.013672, -0.030762, 1.610687, 1.687023, 0.396947
[Ard], 4068270, 2032186436, 0, -0.979980, 0.005859, -0.014893, 1.519084, 1.618321, 0.427481
[Ard], 4106517, 2032225956, 0, -0.982178, 0.012695, -0.011230, 1.603053, 1.770992, 0.335878
[Ard], 4150782, 2032265476, 0, -0.979248, 0.012695, -0.010498, 1.458015, 1.824427, 0.381679
[Ard], 4196973, 2032304996, 0, -0.983154, 0.012451, -0.016357, 1.534351, 1.763359, 0.305344
[Ard], 4238015, 2032344516, 0, -0.983398, 0.008057, -0.017822, 1.519084, 1.839695, 0.419847
[Ard], 4281992, 2032384036, 0, -0.979736, 0.008057, -0.020020, 1.396947, 1.603053, 0.328244
[Ard], 4328535, 2032423556, 0, -0.979736, 0.010254, -0.017578, 1.671756, 1.656489, 0.274809
[Ard], 4365636, 2032463076, 0, -0.984863, 0.012695, -0.022949, 1.519084, 1.793893, 0.366412
[Ard], 4375254, 2032502596, 0, -0.978271, 0.009033, -0.016113, 1.465649, 1.725191, 0.458015
[Ard], 4421112, 2032542116, 0, -0.986816, 0.008789, -0.017090, 1.580153, 1.900763, 0.587786
[Ard], 4496009, 2032581640, 0, -0.988281, 0.010986, -0.020264, 1.572519, 1.702290, 0.351145
[Ard], 4503507, 2032621156, 0, -0.982666, 0.008789, -0.010742, 1.603053, 1.702290, 0.221374
[Ard], 4555639, 2032660676, 0, -0.981934, 0.009277, -0.016357, 1.442748, 1.877863, 0.396947
[Ard], 4595722, 2032700196, 0, -0.979004, 0.011475, -0.014404, 1.557252, 1.839695, 0.343511
[Ard], 4638011, 2032739716, 0, -0.983643, 0.006836, -0.019287, 1.511450, 1.908397, 0.251908
[Ard], 4686015, 2032779236, 0, -0.984619, 0.010986, -0.020264, 1.671756, 1.664122, 0.427481
[Ard], 4726086, 2032818756, 0, -0.983154, 0.006348, -0.018311, 1.633588, 1.709924, 0.519084
[Ard], 4732968, 2032858276, 0, -0.980713, 0.007080, -0.016846, 1.488550, 1.656489, 0.335878
[Ard], 4808163, 2032897796, 0, -0.983398, 0.007080, -0.019287, 1.557252, 1.877863, 0.396947
[Ard], 4817812, 2032937316, 0, -0.988281, 0.010010, -0.014893, 1.709924, 1.740458, 0.229008
[Ard], 4867554, 2032976836, 0, -0.978027, 0.006348, -0.015137, 1.557252, 1.702290, 0.358779
[Ard], 4921521, 2033016356, 0, -0.984619, 0.008789, -0.016602, 1.511450, 1.664122, 0.480916
[Ard], 4958581, 2033055876, 0, -0.989746, 0.010498, -0.011963, 1.549618, 1.809160, 0.229008
[Ard], 5018245, 2033095396, 0, -0.986084, 0.006104, -0.020020, 1.717557, 1.877863, 0.526718
[Ard], 5026849, 2033134916, 0, -0.987549, 0.004150, -0.013184, 1.564885, 1.709924, 0.412214
[Ard], 5084874, 2033174436, 0, -0.990234, 0.007324, -0.030029, 1.633588, 1.763359, 0.366412
[Ard], 5088245, 2033213956, 0, -0.979980, 0.001465, -0.018555, 1.366412, 1.717557, 0.366412
[Ard], 5134925, 2033253476, 0, -0.987793, -0.000488, -0.016357, 1.435115, 1.816794, 0.458015
[Ard], 5175663, 2033292996, 0, -0.981689, 0.006836, -0.011230, 1.595420, 1.717557, 0.427481
[Ard], 5217585, 2033332516, 0, -0.986572, 0.006348, -0.017578, 1.641221, 1.618321, 0.389313
[Ard], 5257513, 2033372036, 0, -0.984131, 0.011475, -0.020508, 1.450382, 1.679389, 0.389313
[Ard], 5305121, 2033411556, 0, -0.979492, 0.012207, -0.021729, 1.595420, 1.702290, 0.534351
[Ard], 5331211, 2033451076, 0, -0.982910, 0.011475, -0.011230, 1.641221, 1.664122, 0.458015
[Ard], 5371726, 2033490596, 0, -0.979492, 0.008301, -0.018799, 1.534351, 1.900763, 0.389313
[Ard], 5418756, 2033530116, 0, -0.978760, 0.007080, -0.013672, 1.412214, 1.931298, 0.374046
[Ard], 5456162, 2033569636, 0, -0.987549, 0.008301, -0.022461, 1.564885, 1.900763, 0.381679
[Ard], 5502972, 2033609156, 0, -0.986816, 0.006592, -0.009277, 1.435115, 1.793893, 0.458015
[Ard], 5542704, 2033648676, 0, -0.983643, 0.013428, -0.027344, 1.610687, 1.717557, 0.404580
[Ard], 5585676, 2033688196, 0, -0.985840, 0.009033, -0.012939, 1.503817, 1.900763, 0.389313
[Ard], 5634836, 2033727716, 0, -0.982422, 0.007324, -0.019775, 1.541985, 1.755725, 0.389313
[Ard], 5641179, 2033767236, 0, -0.985840, 0.007080, -0.016846, 1.419847, 1.786260, 0.442748
[Ard], 5686994, 2033806756, 0, -0.987549, 0.008057, -0.015381, 1.549618, 1.793893, 0.396947
[Ard], 5730736, 2033846280, 0, -0.985840, 0.005127, -0.020264, 1.572519, 1.839695, 0.541985
[Ard], 5776022, 2033885796, 0, -0.984619, 0.009521, -0.021973, 1.641221, 1.725191, 0.343511
[Ard], 5811287, 2033925316, 0, -0.977051, 0.004883, -0.026855, 1.572519, 1.725191, 0.503817
[Ard], 5859251, 2033964836, 0, -0.980469, 0.007812, -0.003662, 1.618321, 1.870229, 0.290076
[Ard], 5905194, 2034004356, 0, -0.979736, 0.008545, -0.016846, 1.473282, 1.862595, 0.435115
[Ard], 5943000, 2034043876, 0, -0.979736, 0.011963, -0.013184, 1.473282, 1.809160, 0.343511
[Ard], 5983445, 2034083396, 0, -0.981689, 0.003662, -0.015137, 1.664122, 1.763359, 0.442748
[Ard], 6003448, 2034122916, 0, -0.979980, 0.009277, -0.024170, 1.480916, 1.717557, 0.366412
[Ard], 6047279, 2034162436, 0, -0.983643, 0.009033, -0.016602, 1.572519, 1.740458, 0.465649
